sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
15, 747368700, -17.668846130371094, -50.11228561401367, -179.3154296875, 0.14643043279647827, -0.01469874382019043, 0.06825649738311768, 8.82923698425293, -0.8532091379165649, 4.007129192352295, -48.7579460144043, -64.05921173095703, -44.948326110839844, 
16, 747385367, -18.133129119873047, -51.76097869873047, -179.77296447753906, 0.13989347219467163, 0.005033254623413086, 0.09045696258544922, 8.438488960266113, 0.304139107465744, 5.357095241546631, -51.2212028503418, -59.25577926635742, -34.67640686035156, 
17, 747402034, -18.838232040405273, -53.395118713378906, -179.72744750976562, 0.13485002517700195, -0.0011700987815856934, 0.10801035165786743, 8.155142784118652, -0.0925888940691948, 6.39939022064209, -43.886024475097656, -68.31531524658203, -15.940987586975098, 
18, 747418701, -19.755260467529297, -55.27162170410156, -179.1015167236328, 0.12096774578094482, -0.03838890790939331, 0.14635443687438965, 7.378036022186279, -2.337435245513916, 8.671806335449219, -29.1539249420166, -93.70215606689453, -2.7655608654022217, 
19, 747435368, -20.4644832611084, -57.882076263427734, -178.20700073242188, 0.09074819087982178, -0.13411837816238403, 0.204939603805542, 5.721390724182129, -8.037870407104492, 12.177124977111816, -1.7765920162200928, -145.18292236328125, -15.196554183959961, 
20, 747452035, -20.02285385131836, -62.11723709106445, -178.04513549804688, 0.02255380153656006, -0.26095378398895264, 0.3137652277946472, 2.1934869289398193, -15.544440269470215, 18.845951080322266, 33.99708938598633, -239.2142333984375, -81.40283203125, 
21, 747468702, -17.223020553588867, -69.30538940429688, 179.76235961914062, -0.0833885669708252, -0.2997109889984131, 0.5212522149085999, -2.608917236328125, -17.87274932861328, 31.657752990722656, 51.09708786010742, -408.2132263183594, -202.53875732421875, 
22, 747485369, -1.9404491186141968, -80.5684585571289, 164.5601806640625, 0.14172619581222534, -0.6455198526382446, 0.6262494325637817, 14.221975326538086, -37.96517562866211, 36.76795196533203, 36.46456527709961, -666.6436767578125, -374.0977783203125, 
23, 747502036, 99.15943145751953, -83.12879180908203, 61.062904357910156, 1.100550889968872, -0.5171586275100708, 0.3873364329338074, 70.30767822265625, -26.448972702026367, 15.862574577331543, -101.95084381103516, -705.9779663085938, -497.3826904296875, 
24, 747518703, 117.2111587524414, -77.41532897949219, 33.25688171386719, 0.6975046396255493, -0.7637423276901245, -0.1908227801322937, 43.06462860107422, -42.77842330932617, -17.733430862426758, -559.4142456054688, -427.8706970214844, -315.5082092285156, 
25, 747535370, 146.45074462890625, -74.41778564453125, 0.7177597880363464, 0.7494290471076965, -0.8579295873641968, -0.2633240818977356, 43.22248077392578, -51.519134521484375, -20.14997673034668, -157.17788696289062, -491.20367431640625, 67.95503234863281, 
26, 747552037, 173.8784942626953, -68.322509765625, -25.839340209960938, 0.8220967054367065, -0.18548816442489624, 0.4509531855583191, 50.91090393066406, -12.35639762878418, 23.450664520263672, 88.4081802368164, -517.3917846679688, 214.98519897460938, 
27, 747568704, 176.35581970214844, -63.219146728515625, -28.58529281616211, 0.9686571359634399, 0.243144690990448, 0.6095185875892639, 59.727996826171875, 15.023752212524414, 33.74015808105469, -56.9879264831543, -345.9642028808594, -85.63095092773438, 
28, 747585371, 168.45407104492188, -61.16272735595703, -21.419832229614258, 0.813778281211853, -0.1683948040008545, 0.6823718547821045, 50.223880767822266, -8.663741111755371, 39.5815315246582, -141.8787384033203, -161.92591857910156, -317.29083251953125, 
29, 747602038, 163.14447021484375, -61.44546127319336, -13.938716888427734, 0.5887628793716431, -0.35214000940322876, 0.6642993688583374, 36.38168716430664, -19.34722900390625, 39.828792572021484, 37.02637481689453, -26.77773666381836, -301.73992919921875, 
30, 747618705, 161.93124389648438, -64.12617492675781, -7.275666236877441, 0.3591254949569702, -0.28115594387054443, 0.660537838935852, 21.5590877532959, -14.694478988647461, 40.504371643066406, 255.82260131835938, 86.75582122802734, -219.63916015625, 
31, 747635372, 159.587646484375, -68.62262725830078, 1.1813807487487793, 0.13659411668777466, -0.0780060887336731, 0.6798930764198303, 7.230178356170654, -2.6162326335906982, 41.17988204956055, 311.1009216308594, 180.14813232421875, -184.76959228515625, 
32, 747652039, 149.0862274169922, -74.64409637451172, 16.358112335205078, -0.03147721290588379, -0.06176692247390747, 0.5763262510299683, -3.28855562210083, -2.5673327445983887, 34.59306335449219, 237.58958435058594, 294.19512939453125, -166.23219299316406, 
33, 747668706, 113.10204315185547, -80.83876037597656, 56.44453048706055, -0.20450878143310547, -0.17813318967819214, 0.3501148223876953, -13.465332984924316, -10.248332023620605, 20.50225067138672, 213.576904296875, 451.1934509277344, -112.9658203125, 
34, 747685373, 45.79916000366211, -78.46216583251953, 127.64881896972656, -0.2568553686141968, -0.24940478801727295, 0.160599946975708, -16.245370864868164, -14.710914611816406, 8.633354187011719, 196.8171844482422, 625.521728515625, -5.897643566131592, 
35, 747702040, 17.17962646484375, -68.25049591064453, 158.4656982421875, -0.32197028398513794, -0.2722093462944031, 0.17243164777755737, -20.664627075195312, -15.856521606445312, 8.39346694946289, 71.68636322021484, 736.794677734375, 130.0850067138672, 
36, 747718707, 5.069588661193848, -55.23823928833008, 171.00234985351562, -0.14916902780532837, -0.48957693576812744, 0.09661686420440674, -10.422286987304688, -29.147586822509766, 4.437472820281982, -55.79298400878906, 815.25537109375, 196.22674560546875, 
37, 747735374, -2.5210325717926025, -40.65988540649414, 176.5672149658203, -0.046360671520233154, -0.28695040941238403, -0.08855545520782471, -2.5743565559387207, -16.972076416015625, -6.1626434326171875, -202.0438232421875, 872.4028930664062, 201.93185424804688, 
38, 747752041, -11.694117546081543, -27.52772331237793, -179.5169219970703, -0.015057504177093506, -0.025706112384796143, -0.40047335624694824, 1.698026418685913, -0.08871829509735107, -24.09587287902832, -414.29638671875, 754.9699096679688, 289.35748291015625, 
39, 747768708, -19.81132698059082, -16.725046157836914, -175.6379852294922, 0.20681828260421753, 0.18559890985488892, -0.7692508697509766, 16.80511474609375, 12.994131088256836, -44.335472106933594, -396.7406921386719, 563.8137817382812, 382.906494140625, 
40, 747785375, -28.96525764465332, -9.571578979492188, -171.7386474609375, 0.4566044211387634, 0.6960720419883728, -0.6876432299613953, 31.476646423339844, 43.021080017089844, -36.97993469238281, -494.48101806640625, 296.2937927246094, 384.615966796875, 
41, 747802042, -37.16204071044922, -5.359157562255859, -167.54891967773438, 1.3505312204360962, 0.4261121153831482, -0.5676146745681763, 82.65504455566406, 23.662187576293945, -31.49416732788086, -458.66912841796875, 75.58454132080078, 347.05023193359375, 
42, 747818709, -41.26051712036133, -3.3512651920318604, -167.3976593017578, 1.5633678436279297, 0.5930866599082947, -0.4241846203804016, 94.55017852783203, 35.31309509277344, -22.9775390625, -245.03025817871094, 88.28035736083984, 83.99568176269531, 
43, 747835376, -47.16263961791992, -5.298886775970459, -172.9889678955078, 1.4095100164413452, 0.6218461990356445, -0.3916165232658386, 83.23851013183594, 42.44948959350586, -19.497440338134766, -379.27972412109375, 150.6948699951172, -319.84515380859375, 
44, 747852043, -50.55255126953125, -10.341983795166016, -177.8197784423828, 1.0122742652893066, 0.4053862690925598, -0.3753775358200073, 59.23677062988281, 28.74395179748535, -21.44889259338379, -243.1714630126953, 18.30364418029785, -414.8942565917969, 
45, 747868710, -48.395423889160156, -15.581097602844238, -177.46141052246094, 1.2094637155532837, -0.4308755397796631, -0.41169458627700806, 72.57896423339844, -23.984424591064453, -26.526771545410156, 133.7484588623047, -219.40769958496094, -223.5333709716797, 
46, 747885377, -42.931880950927734, -11.810938835144043, -177.1416473388672, 0.8468884825706482, 0.3951417803764343, 0.5458494424819946, 50.728397369384766, 23.988140106201172, 32.67677688598633, 332.6561584472656, 145.95651245117188, 176.45896911621094, 
47, 747902044, -39.5504264831543, -9.177016258239746, -179.88160705566406, -0.2599620819091797, -0.8116052150726318, 0.18834161758422852, -15.863407135009766, -48.44261932373047, 12.003623008728027, 172.50546264648438, 226.36697387695312, -16.09991455078125, 
48, 747918711, -36.35310363769531, -8.645977020263672, 176.95669555664062, 0.047087252140045166, 0.21164566278457642, 0.44199568033218384, 2.044633388519287, 13.371670722961426, 26.265857696533203, 162.6453399658203, 140.42889404296875, -127.95441436767578, 
49, 747935378, -35.390987396240234, -8.604443550109863, 176.71327209472656, 0.09662353992462158, 0.24064254760742188, 0.3881533145904541, 5.741429328918457, 14.633975982666016, 23.1805419921875, 55.306175231933594, 10.113259315490723, -10.264498710632324, 
